"corpus","utterance"
"tardif","that's a mouse"
"tardif","there's"
"tardif","you can comb your hair"
"tardif","you can comb mommy's hair"
"tardif","car what's this little boy doing"
"tardif","he's playing in the sa"
"tardif","he's playing in the sand"
"tardif","don't fall sweetheart please"
"tardif","there it is"
"tardif","apple and what is this over here"
"tardif","nnitz a umbrella so you don't get wet"
"tardif","okay let's just leave that alone sweetheart Leah will take that from mama too okay"
"tardif","it has a wire too"
"tardif","what is this"
"tardif","birdie that's right it it"
"tardif","what is this over here Lindz"
"tardif","that's a kite"
"tardif","kite that's right"
"tardif","oh here you go now you know what this is sweetheart what's this right here"
"tardif","that's right where's his tail"
"tardif","show mama where his tail is"
"tardif","right where's his nose"
"tardif","very good"
"tardif","does he have legs"
"tardif","yes where's his feet"
