"Corpus","Utterance"
"brent","and it fell off the spoon"
"brent","oh no"
"brent","here"
"brent","put it back on"
"brent","good boy"
"brent","let's put it in your mouth"
"brent","c on"
"brent","come on"
"brent","oh"
"brent","can I have a bite"
"brent","oh"
"brent","good boy"
"brent","this a flavorful treat huh"
"brent","a flavorful treat"
"brent","good boy"
"brent","whoopsie"
"brent","lemme move this silly thing"
"brent","someone has a cough"
"brent","good boy"
"brent","he's eating his lunch"
"brent","he's eating his lunch"
"brent","good boy"
"brent","these beans are good too aren't they"
"brent","what's the bean doing"
"brent","hi bean"
"brent","the dueling beans"
"brent","bean bean bean bean bean"
"brent","bean"
"brent","bean bean bean bean bean"
"brent","bean"
"brent","bean bean bean"
"brent","it got away"
"brent","where did the bean go"
"brent","he got away"
"brent","tastes good though doesn't it"
"brent","oh he spit it out"
"brent","what a mess"
"brent","what a mess"
"brent","bean bean bean bean bean"
"brent","this is a bean"
"brent","Boneen"
"brent","no"
"brent","you had enough of the stew"
"brent","well you ate a fair amount"
"brent","can't complain"
"brent","no"
"brent","he's got a bean"
"brent","it's a big bean"
"brent","what's this"
"brent","more stew"
"brent","you've had enough stew"
"brent","what is this"
"brent","lovely yummy stuff"
"brent","you sick of it"
"brent","okay"
"brent","the end"
"brent","oops"
"brent","no more lunch"
"brent","the lunchie stew is done"
"brent","but there's still beans to mess with"
"brent","make a disaster out of aren't there"
"brent","oh"
"brent","I'm putting it all away sweet love"
"brent","yes"
"brent","this is where your stew is gonna go"
"brent","wha this"
"brent","it's the house of the stew"
"brent","last chance"
"brent","stew"
"brent","oh he changed his mind"
"brent","it looks very good in the pan"
"brent","oh"
"brent","a stew pan"
"brent","no he wants to feel it"
"brent","he wants to feel it"
"brent","mm maybe we'll have a poopie before we go out"
"brent","a yummy"
"brent","he likes the stew"
"brent","it's very good"
"brent","it's all in a broth"
"brent","he's enjoying himself"
"brent","he wants to feel it"
"brent","part of what's so good about a stew is the way it feels"
"brent","not just the way it tastes"
"brent","oh don't take it away"
"brent","don't take away my stew"
"brent","here you want some water sweetheart"
"brent","what's this"
"brent","water"
"brent","mm water"
"brent","water"
"brent","water"
"brent","water"
"brent","you want some more"
"brent","very good"
"brent","is that good"
"brent","was that good"
"brent","want more"
"brent","more water"
"brent","yes"
"brent","oh"
"brent","the water is very"
"brent","you want some more"
"brent","yummy yummy"
