"filename","corpus","utterance"
"US/Brown/Adam/adam01.xml","brown","what are you doing"
"US/Brown/Adam/adam01.xml","brown","oh you're like a bulldozer"
"US/Brown/Adam/adam01.xml","brown","no that's no funny"
"US/Brown/Adam/adam01.xml","brown","you had such a funny expression"
"US/Brown/Adam/adam01.xml","brown","must go where"
"US/Brown/Adam/adam01.xml","brown","no Mommy's going to be home"
"US/Brown/Adam/adam01.xml","brown","Adam will be home too"
"US/Brown/Adam/adam01.xml","brown","too"
"US/Brown/Adam/adam01.xml","brown","Catherine too"
"US/Brown/Adam/adam01.xml","brown","no"
"US/Brown/Adam/adam01.xml","brown","who"
"US/Brown/Adam/adam01.xml","brown","well Cliffy's at his house"
"US/Brown/Adam/adam01.xml","brown","Bozo"
"US/Brown/Adam/adam01.xml","brown","I guess Cliffy looks at Bozo at her house"
"US/Brown/Adam/adam01.xml","brown","your screwdriver isn't straight anymore"
"US/Brown/Adam/adam01.xml","brown","how can you work"
"US/Brown/Adam/adam01.xml","brown","how can you work"
"US/Brown/Adam/adam01.xml","brown","put it box"
"US/Brown/Adam/adam01.xml","brown","you don't have anything else to put in the box do you"
"US/Brown/Adam/adam01.xml","brown","what is that"
"US/Brown/Adam/adam01.xml","brown","this is your bulldozer"
"US/Brown/Adam/adam01.xml","brown","oh my Adam bulldozer alright"
"US/Brown/Adam/adam01.xml","brown","careful"
"US/Brown/Adam/adam01.xml","brown","don't hit his feet"
"US/Brown/Adam/adam01.xml","brown","you like hit ball"
"US/Brown/Adam/adam01.xml","brown","isn't that part of your trailer"
"US/Brown/Adam/adam01.xml","brown","you go get it"
"US/Brown/Adam/adam01.xml","brown","I'll go get it"
"US/Brown/Adam/adam01.xml","brown","how did you get them in there"
"US/Brown/Adam/adam01.xml","brown","there's one"
"US/Brown/Adam/adam01.xml","brown","I guess he's working"
"US/Brown/Adam/adam01.xml","brown","let's put the poor mailman's head back on"
"US/Brown/Adam/adam01.xml","brown","how can he see to deliver mail"
"US/Brown/Adam/adam01.xml","brown","what are you doing"
"US/Brown/Adam/adam01.xml","brown","tomato"
"US/Brown/Adam/adam01.xml","brown","where is a tomato"
"US/Brown/Adam/adam01.xml","brown","who is that"
"US/Brown/Adam/adam01.xml","brown","who"
"US/Brown/Adam/adam01.xml","brown","Mary"
"US/Brown/Adam/adam01.xml","brown","she's gone home"
"US/Brown/Adam/adam01.xml","brown","she went home in July"
"US/Brown/Adam/adam01.xml","brown","why don't you come over here and play with the ball"
"US/Brown/Adam/adam01.xml","brown","you can get it"
"US/Brown/Adam/adam01.xml","brown","you go get it"
"US/Brown/Adam/adam01.xml","brown","Daddy's brief case"
"US/Brown/Adam/adam01.xml","brown","did you get the ball"
"US/Brown/Adam/adam01.xml","brown","where is it"
"US/Brown/Adam/adam01.xml","brown","those are Daddy's books"
"US/Brown/Adam/adam01.xml","brown","Daddy's and Mommy's"
"US/Brown/Adam/adam01.xml","brown","would you like to have your books on the bookshelf too"
"US/Brown/Adam/adam01.xml","brown","let's see if there are any pictures in this book"
"US/Brown/Adam/adam01.xml","brown","what is that"
"US/Brown/Adam/adam01.xml","brown","no that's a church"
"US/Brown/Adam/adam01.xml","brown","move your own road grader"
"US/Brown/Adam/adam01.xml","brown","go move the road grader"
"US/Brown/Adam/adam01.xml","brown","you pick the road grader up"
"US/Brown/Adam/adam01.xml","brown","the dog doesn't want any paper does he"
"US/Brown/Adam/adam01.xml","brown","here doggie"
"US/Brown/Adam/adam01.xml","brown","that's not a record"
"US/Brown/Adam/adam01.xml","brown","that's a tape recorder"
"US/Brown/Adam/adam01.xml","brown","don't touch"
"US/Brown/Adam/adam01.xml","brown","what is it doing"
"US/Brown/Adam/adam01.xml","brown","record is playing"
"US/Brown/Adam/adam01.xml","brown","what does it do when it plays"
